AGR*3010,12 / 25,LEC Days TBA Times TBA Room TBA,F. Tardif
AGR*4010,7 / 20,LEC Days TBA Times TBA Room TBA,A. Robinson
AGR*4450,28 / 30,LAB Mon 04:30PM - 05:20PM AD-S  Room Virtual,M. Kalischuk
AGR*4460,25 / 30,LAB Mon 04:30PM - 05:20PM AD-S  Room Virtual,M. Kalischuk
AGR*4600,0 / 140,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual,"V. Osborne, E. Doherty-Best, R. Van Acker"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Tues 10:00AM - 11:20AM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Thur 11:30AM - 12:50PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Tues 02:30PM - 03:50PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Thur 01:00PM - 02:20PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
ANSC*1210,0 / 16,LEC Tues  Thur 04:00PM - 05:20PM AD-S  Room Virtual SEM Thur 02:30PM - 03:50PM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,"R. Bergeron, A. Harlander"
